question_id,content,option_a,option_b,option_c,option_d,correct_answer
Q0000,"Giải phương trình: x² - 5x + 6 = 0","x = 1; x = 4","x = 2; x = 3","x = 0; x = 5","x = -1; x = -6","B"
Q0001,"Cho tam giác ABC vuông tại A, AB = 3cm, AC = 4cm. Tính BC?","5cm","6cm","7cm","8cm","A"
Q0002,"Giải phương trình: x² - 4 = 0","x = ±2","x = ±4","x = 2","x = -2","A"
Q0003,"Giải bất phương trình: 2x - 4 ≥ 0","x ≥ 2","x > 2","x ≤ 2","x < 2","A"
Q0004,"Thể tích khối lập phương cạnh 5cm là:","125 cm³","25 cm³","625 cm³","100 cm³","A"
Q0005,"Cho hệ: {x + y = 5; x - y = 1}. Nghiệm là:","(3;2)","(2;3)","(1;4)","(4;1)","A"
Q0006,"Tính sin 30°","1/2","√2/2","√3/2","1","A"
Q0007,"Hệ số a, b, c của phương trình x² + 4x - 5 = 0 là:","1, 4, -5","1, -4, 5","-1, 4, 5","1, 4, 5","A"
Q0008,"Giải phương trình: x² - 9 = 0","x = ±3","x = ±9","x = 3","x = -3","A"
Q0009,"Giải phương trình: 3x - 6 = 0","x = 2","x = 3","x = -2","x = 6","A"
Q0010,"Tính cos 60°","1/2","√2/2","√3/2","1","A"
Q0011,"Tính tan 45°","1","0","√3","1/√3","A"
Q0012,"Diện tích hình tròn bán kính 2cm","4π","2π","8π","16π","A"
Q0013,"Giải bất phương trình: x + 3 > 0","x > -3","x < -3","x ≥ -3","x ≤ -3","A"
Q0014,"Giải phương trình: 2x + 4 = 0","x = -2","x = 2","x = 4","x = -4","A"
Q0015,"Tính √49","7","9","6","8","A"
Q0016,"Cho tam giác đều cạnh 6. Chu vi bằng:","18","12","24","30","A"
Q0017,"Thể tích hình hộp chữ nhật 2×3×4","24","20","12","18","A"
Q0018,"Giải phương trình: x² + x - 6 = 0","x = 2; x = -3","x = 3; x = -2","x = 1; x = -6","x = 6; x = -1","A"
Q0019,"Tính đạo hàm: (x²)'","2x","x","x²","2","A"
Q0020,"Tính đạo hàm: (3x)'","3","x","3x","0","A"
Q0021,"Tính tích phân: ∫1 dx","x + C","1 + C","C","2x + C","A"
Q0022,"Giải phương trình: x² - x - 2 = 0","x = 2; x = -1","x = 1; x = -2","x = 0; x = 2","x = 3; x = -2","A"
Q0023,"Số π xấp xỉ bằng:","3.14","3.15","3.13","3.16","A"
Q0024,"Cho dãy số: 2, 4, 6, 8. Số tiếp theo là:","10","12","14","16","A"
Q0025,"Cho a = 2, b = 3. Tính a³","8","6","9","12","A"
Q0026,"Tính log₁₀100","2","3","1","0","A"
Q0027,"Giải bất phương trình: 5 - x > 0","x < 5","x > 5","x ≤ 5","x ≥ 5","A"
Q0028,"Tính sin 0°","0","1","1/2","√2/2","A"
Q0029,"Tính cos 0°","1","0","1/2","√3/2","A"
Q0030,"Tính tan 0°","0","1","∞","Không xác định","A"
Q0031,"Giải phương trình: x² - 16 = 0","x = ±4","x = ±8","x = 4","x = -4","A"
Q0032,"Giải phương trình: 2x - 10 = 0","x = 5","x = -5","x = 10","x = 2","A"
Q0033,"Tính √121","11","12","10","9","A"
Q0034,"Tính 2³","8","6","9","12","A"
Q0035,"Tính 5!","120","60","240","720","A"
Q0036,"Diện tích hình vuông cạnh 8","64","32","16","48","A"
Q0037,"Diện tích tam giác có đáy 10, cao 6","30","60","40","50","A"
Q0038,"Tính đạo hàm: (x³)'","3x²","x³","x²","3x","A"
Q0039,"Tính đạo hàm: (√x)'","1/(2√x)","1/√x","√x","1/(x√x)","A"
Q0040,"Tính tổng: 1 + 2 + 3 + 4","10","9","8","11","A"
Q0041,"Tìm số nguyên tố:","7","9","1","21","A"
Q0042,"Số đối của -5 là:","5","-5","0","1","A"
Q0043,"Giải hệ: {2x + y = 5; x + y = 3}","(2;1)","(1;2)","(3;2)","(0;3)","A"
Q0044,"Tính 12 × 11","132","121","144","112","A"
Q0045,"Tính 15²","225","250","200","215","A"
Q0046,"Cho a = 3. Tính a⁴","81","64","27","243","A"
Q0047,"Giải phương trình: x² - 25 = 0","x = ±5","x = ±25","x = 5","x = -5","A"
Q0048,"Tính 6!","720","120","620","840","A"
Q0049,"Tính đạo hàm: (ln x)'","1/x","x","ln x","1/x²","A"
Q0050,"Tính ∫x dx","x²/2 + C","x² + C","2x + C","x + C","A"
Q0051,"Cho cấp số cộng: 3, 7, 11,… Công sai d =","4","3","2","1","A"
Q0052,"Tính 9²","81","72","90","99","A"
Q0053,"Tính √64","8","7","6","9","A"
Q0054,"Tính sin 90°","1","0","1/2","√3/2","A"
Q0055,"Tính cos 90°","0","1","1/2","√2/2","A"
Q0056,"Tính tan 90°","Không xác định","1","0","∞","A"
Q0057,"Tính đạo hàm: (eˣ)'","eˣ","x","1","e","A"
Q0058,"Tính tích: 14 × 5","70","65","75","60","A"
Q0059,"Tính tổng: 100 + 250","350","300","400","450","A"
Q0060,"Diện tích hình chữ nhật 7×8","56","48","60","64","A"
Q0061,"Tính 4² + 3²","25","12","18","20","A"
Q0062,"Cho hàm số y = 2x + 1. Hệ số góc là:","2","1","0","3","A"
Q0063,"Tính đạo hàm: (1/x)'","-1/x²","1/x²","-1/x","1/x","A"
Q0064,"Giải bất phương trình: x - 7 < 0","x < 7","x > 7","x ≥ 7","x ≤ 7","A"
Q0065,"Tính thể tích hình cầu bán kính 1","4/3 π","2π","4π","π","A"
Q0066,"Tính log₂8","3","2","4","1","A"
Q0067,"Tính 3⁴","81","64","27","243","A"
Q0068,"Tính 2⁵","32","16","64","24","A"
Q0069,"Tính đạo hàm: (x⁵)'","5x⁴","x⁴","x⁵","4x³","A"
Q0070,"Tính tổng góc tam giác","180°","360°","90°","270°","A"
Q0071,"Số nguyên tố nhỏ nhất","2","1","3","5","A"
Q0072,"Tính diện tích hình thoi có 2 đường chéo 6 và 8","24","14","26","48","A"
Q0073,"Tính 11 × 9","99","90","108","110","A"
Q0074,"Tính 7³","343","256","512","128","A"
Q0075,"Giải phương trình: x² - 1 = 0","x = ±1","x = ±2","x = 1","x = -1","A"
Q0076,"Tính đạo hàm: (cos x)'","-sin x","sin x","cos x","-cos x","A"
Q0077,"Tính đạo hàm: (sin x)'","cos x","-sin x","tan x","1","A"
Q0078,"Tính đạo hàm: (tan x)'","sec² x","sin x","cos x","1","A"
Q0079,"Tính diện tích hình bình hành đáy 10 cao 4","40","30","50","60","A"
Q0080,"Tính tốc độ nếu quãng đường 100km, thời gian 2h","50 km/h","100 km/h","25 km/h","75 km/h","A"
Q0081,"Giải phương trình: 4x = 20","x = 5","x = 4","x = 10","x = 2","A"
Q0082,"Số nghịch đảo của 2","1/2","2","-1/2","-2","A"
Q0083,"Tính 2 × 17","34","35","30","37","A"
Q0084,"Giải phương trình: x/3 = 6","x = 18","x = 6","x = 12","x = 3","A"
Q0085,"Giải bất phương trình: 3x + 1 > 7","x > 2","x > 3","x < 2","x = 2","A"
Q0086,"Tính đạo hàm: (x⁻¹)'","-1/x²","1/x²","1/x","-1/x","A"
Q0087,"Tính (a + b)²","a² + 2ab + b²","a² + b²","a² - 2ab + b²","2a² + b²","A"
Q0088,"Tính thể tích hình nón (r = 3, h = 4)","12π","36π","48π","9π","A"
Q0089,"Tính 50% của 200","100","50","150","120","A"
Q0090,"Tính 25% của 80","20","15","25","30","A"
Q0091,"Tính 10% của 300","30","10","20","15","A"
Q0092,"Giải phương trình: 5x - 15 = 0","x = 3","x = 5","x = -3","x = 15","A"
Q0093,"Tính 9 × 8","72","64","70","80","A"
Q0094,"Tính 13²","169","150","170","160","A"
Q0095,"Tính √225","15","10","12","20","A"
Q0096,"Tính 20% của 50","10","20","5","15","A"
Q0097,"Tính log₃27","3","2","1","4","A"
Q0098,"Giải bất phương trình: 4 - x ≤ 0","x ≥ 4","x ≤ 4","x = 4","x > 4","A"
Q0099,"Tính đạo hàm: (x² + 3x)'","2x + 3","2x","3x","x² + 3","A"
